Título,Ubicación,Descripcion,Precio,Puntuación
Aparthotel 45m²,Distrito Del Ensanche,"Espacio para 3 pers., 1 dormitorio, 45 m²",246 € / noche,"10,0"
Loft en Barcelona con Terraza y Piscina en el Centro,Gracia,"Espacio para 6 pers., 1 dormitorio, 80 m²",198 € / noche,"8,8"
"Apartamento ""Mirall en el mejor barrio"" con Wi-Fi, aire acondicionado y balcón",Distrito De Sarrià-Sant Gervasi,"Espacio para 8 pers., 3 dormitorios, 75 m²",558 € / noche,"8,0"
Apartamento superior de tres dormitorios,Distrito Del Ensanche,"Espacio para 6 pers., 3 dormitorios, 110 m²",360 € / noche,"9,4"
Homenfun Barcelona Eixample ll,Distrito Del Ensanche,"Espacio para 8 pers., 4 dormitorios, 95 m²",284 € / noche,"7,3"
"Acogedor estudio con terraza y aire acondicionado, cerca del centro de la ciudad",Distrito De Sants-Montjuïc,"Espacio para 4 pers., 35 m²",171 € / noche,
Apartamento de vacaciones 90m²,Distrito De Sarrià-Sant Gervasi,"Espacio para 6 pers., 2 dormitorios, 90 m²",233 € / noche,"8,6"
Hostal Bestprice Barcelona Stadium,Barcelona,"Espacio para 2 pers., 1 dormitorio, 12 m²",65 € / noche,"8,5"
Acogedor Apartamento Cerca De La Playa,Playa Barcelona,"Espacio para 4 pers., 2 dormitorios, 67 m²",240 € / noche,"9,4"
Hostal Felipe 2,Distrito Del Ensanche,"Espacio para 2 pers., 1 dormitorio, 8 m²",76 € / noche,"7,3"
"Loft en el Arco del Triunfo de Barcelona con terraza, piscina y Wi-Fi gratis",Distrito Del Ensanche,"Espacio para 6 pers., 1 dormitorio, 60 m²",198 € / noche,"10,0"
Sant Jordi Apartments Sagrada Familia,Centro Barcelona,"Espacio para 10 pers., 4 dormitorios, 80 m²",206 € / noche,"7,5"
"Apartamento ""Navas 2"" con balcones y Wi-Fi",Sant Andreu,"Espacio para 6 pers., 3 dormitorios, 68 m²",877 € / noche,"8,0"
Hostal Capitol Ramblas,Distrito De Ciutat Vella (barcelona),"Espacio para 4 pers., 1 dormitorio, 19 m²",131 € / noche,"6,7"
Apartamento con Piscina en el Barrio Gótico,Distrito Del Ensanche,"Espacio para 8 pers., 3 dormitorios, 80 m²",216 € / noche,"8,9"
Apartamentos Dv,Distrito De Sants-Montjuïc,"Espacio para 2 pers., 1 dormitorio, 24 m²",111 € / noche,"8,5"
Apartamento de vacaciones 80m²,Distrito De Sarrià-Sant Gervasi,"Espacio para 5 pers., 2 dormitorios, 80 m²",213 € / noche,"9,7"
Apartamento muy centrico en Rambla Catalunya en Barcelona,Distrito Del Ensanche,"Espacio para 8 pers., 4 dormitorios, 130 m²",312 € / noche,"8,6"
Apartamento de vacaciones 100m²,Gracia,"Espacio para 10 pers., 3 dormitorios, 100 m²",349 € / noche,"8,9"
Inout,Distrito De Sarrià-Sant Gervasi,"Espacio para 6 pers., 1 dormitorio, 35 m²",156 € / noche,"7,6"
Encantador estudio cerca del Arco de Triunfo en finca con piscina comunitaria,Distrito Del Ensanche,"Espacio para 2 pers., 1 dormitorio, 80 m²",180 € / noche,"10,0"
Aparthotel 45m²,Distrito Del Ensanche,"Espacio para 3 pers., 1 dormitorio, 45 m²",246 € / noche,"10,0"
Loft en Barcelona con Terraza y Piscina en el Centro,Gracia,"Espacio para 6 pers., 1 dormitorio, 80 m²",198 € / noche,"8,8"
"Apartamento ""Mirall en el mejor barrio"" con Wi-Fi, aire acondicionado y balcón",Distrito De Sarrià-Sant Gervasi,"Espacio para 8 pers., 3 dormitorios, 75 m²",558 € / noche,"8,0"
Apartamento superior de tres dormitorios,Distrito Del Ensanche,"Espacio para 6 pers., 3 dormitorios, 110 m²",360 € / noche,"9,4"
Homenfun Barcelona Eixample ll,Distrito Del Ensanche,"Espacio para 8 pers., 4 dormitorios, 95 m²",284 € / noche,"7,3"
"Acogedor estudio con terraza y aire acondicionado, cerca del centro de la ciudad",Distrito De Sants-Montjuïc,"Espacio para 4 pers., 35 m²",171 € / noche,
Apartamento de vacaciones 90m²,Distrito De Sarrià-Sant Gervasi,"Espacio para 6 pers., 2 dormitorios, 90 m²",233 € / noche,"8,6"
Hostal Bestprice Barcelona Stadium,Barcelona,"Espacio para 2 pers., 1 dormitorio, 12 m²",65 € / noche,"8,5"
Acogedor Apartamento Cerca De La Playa,Playa Barcelona,"Espacio para 4 pers., 2 dormitorios, 67 m²",240 € / noche,"9,4"
Hostal Felipe 2,Distrito Del Ensanche,"Espacio para 2 pers., 1 dormitorio, 8 m²",76 € / noche,"7,3"
"Loft en el Arco del Triunfo de Barcelona con terraza, piscina y Wi-Fi gratis",Distrito Del Ensanche,"Espacio para 6 pers., 1 dormitorio, 60 m²",198 € / noche,"10,0"
Sant Jordi Apartments Sagrada Familia,Centro Barcelona,"Espacio para 10 pers., 4 dormitorios, 80 m²",206 € / noche,"7,5"
"Apartamento ""Navas 2"" con balcones y Wi-Fi",Sant Andreu,"Espacio para 6 pers., 3 dormitorios, 68 m²",877 € / noche,"8,0"
Hostal Capitol Ramblas,Distrito De Ciutat Vella (barcelona),"Espacio para 4 pers., 1 dormitorio, 19 m²",131 € / noche,"6,7"
Apartamento con Piscina en el Barrio Gótico,Distrito Del Ensanche,"Espacio para 8 pers., 3 dormitorios, 80 m²",216 € / noche,"8,9"
